date,calories_burned,steps,distance,floors,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity_calories
"01-05-2017","3464","13943","10.14","13","555","164","95","179","2413"
"02-05-2017","2354","9987","7.67","19","535","355","3","26","1243"
"03-05-2017","2638","11022","7.85","23","565","365","19","41","1560"
"04-05-2017","2629","11676","8.89","21","605","339","26","32","1496"
"05-05-2017","2780","10650","7.64","20","485","428","24","43","1746"
"06-05-2017","2963","11056","8.43","20","641","375","35","42","1892"
"07-05-2017","1647","661","0.48","3","366","60","0","0","174"
"08-05-2017","2144","7091","5.16","23","603","342","0","0","993"
"09-05-2017","2474","10439","7.96","17","584","383","9","29","1410"
"10-05-2017","2523","7926","5.41","22","645","329","6","42","1378"
"11-05-2017","2681","14613","11.21","14","549","395","6","46","1644"
"12-05-2017","3098","13438","9.62","18","407","490","41","45","2159"
"13-05-2017","2576","10137","7.37","12","669","287","30","30","1339"
"14-05-2017","1936","4651","3.38","12","648","226","0","0","680"
"15-05-2017","2499","10851","7.89","18","448","497","0","0","1478"
"16-05-2017","2239","7591","5.52","14","612","389","0","0","1136"
"17-05-2017","2268","5318","3.45","10","807","142","21","41","957"
"18-05-2017","2921","15093","11.5","14","609","209","38","102","1722"
"19-05-2017","2362","7459","5.33","15","43","292","17","31","1197"
"20-05-2017","2363","7426","5.75","9","697","159","14","51","998"
"21-05-2017","1639","1536","1.12","5","795","80","0","0","239"
"22-05-2017","1936","4380","3.18","12","678","240","0","0","675"
"23-05-2017","2459","10515","7.72","24","377","317","9","46","1342"
"24-05-2017","3058","12142","8.51","9","511","294","49","99","1966"
"25-05-2017","2913","16275","12.32","19","516","192","52","109","1757"
"26-05-2017","3124","10907","7.92","22","409","464","58","53","2197"
"27-05-2017","3768","24803","18.79","13","284","420","118","113","2917"
"28-05-2017","1776","4829","3.51","1","1168","30","34","11","372"
"29-05-2017","1616","1394","1.01","5","1380","60","0","0","189"
"30-05-2017","1633","2131","1.55","2","690","71","0","0","224"
"31-05-2017","2267","13581","9.87","19","680","124","44","54","1003"

